City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nizhniy Kuranakh,58.8353,125.4869,-21.77,100,67,2.73,RU,2022-01-21 01:26:43
1,Corrente,-3.7367,-43.3394,71.76,97,100,2.77,BR,2022-01-21 01:26:43
2,Redlands,34.0556,-117.1825,69.48,28,0,8.05,US,2022-01-21 01:26:43
3,Puerto Ayora,-0.7393,-90.3518,73.6,89,84,9.04,EC,2022-01-21 01:25:06
4,San Pedro,14.35,121.0167,82.09,71,40,3.44,PH,2022-01-21 01:26:43
5,Qaanaaq,77.484,-69.3632,16.36,86,100,2.59,GL,2022-01-21 01:24:42
6,Rikitea,-23.1203,-134.9692,78.71,75,100,6.85,PF,2022-01-21 01:26:44
7,New Norfolk,-42.7826,147.0587,80.91,30,8,1.99,AU,2022-01-21 01:26:44
8,Codrington,-38.2667,141.9667,86.16,27,0,8.28,AU,2022-01-21 01:26:44
9,Roald,62.5833,6.1333,37.54,87,100,17.27,NO,2022-01-21 01:26:45
10,Kruisfontein,-34.0033,24.7314,69.89,95,31,9.53,ZA,2022-01-21 01:26:45
11,Punta Arenas,-53.15,-70.9167,57.31,62,0,9.22,CL,2022-01-21 01:24:47
12,Hilo,19.7297,-155.09,79.79,83,100,10.36,US,2022-01-21 01:26:27
13,Mangrol,21.1167,70.1167,70.79,87,5,9.33,IN,2022-01-21 01:26:45
14,Bredasdorp,-34.5322,20.0403,58.28,93,0,3.44,ZA,2022-01-21 01:24:42
15,Torbay,47.6666,-52.7314,44.58,94,100,18.41,CA,2022-01-21 01:26:46
16,Avera,33.194,-82.5271,51.71,93,100,6.96,US,2022-01-21 01:26:46
17,Pabrade,55.0,25.7833,28.83,92,100,16.33,LT,2022-01-21 01:26:46
18,Busselton,-33.65,115.3333,94.05,29,1,7.4,AU,2022-01-21 01:26:47
19,Khatanga,71.9667,102.5,-3.57,93,100,8.43,RU,2022-01-21 01:26:47
20,Hithadhoo,-0.6,73.0833,81.82,74,100,7.56,MV,2022-01-21 01:26:47
21,Vestmanna,62.1564,-7.1664,43.72,93,100,28.77,FO,2022-01-21 01:26:47
22,Pevek,69.7008,170.3133,-35.0,96,20,1.9,RU,2022-01-21 01:26:48
23,Faanui,-16.4833,-151.75,80.87,76,100,19.55,PF,2022-01-21 01:26:48
24,Mataura,-46.1927,168.8643,58.48,61,93,8.77,NZ,2022-01-21 01:26:48
25,Aljezur,37.3191,-8.8033,48.11,62,0,5.21,PT,2022-01-21 01:26:48
26,Prado,-17.3411,-39.2208,75.15,89,0,4.81,BR,2022-01-21 01:26:49
27,Kirovskiy,45.0917,133.5136,-5.39,93,25,1.68,RU,2022-01-21 01:26:49
28,Yellowknife,62.456,-114.3525,-10.68,77,100,23.02,CA,2022-01-21 01:24:34
29,Vila Franca Do Campo,37.7167,-25.4333,61.21,83,7,16.11,PT,2022-01-21 01:26:49
30,Tungor,53.3808,142.9564,-1.17,86,98,15.88,RU,2022-01-21 01:26:49
31,Hobart,-42.8794,147.3294,81.27,40,20,1.01,AU,2022-01-21 01:26:50
32,Port Alfred,-33.5906,26.891,71.83,86,97,17.45,ZA,2022-01-21 01:26:50
33,Jamestown,42.097,-79.2353,13.71,85,100,5.75,US,2022-01-21 01:24:49
34,Izhma,65.0083,53.9113,16.39,92,97,10.36,RU,2022-01-21 01:26:50
35,Mar Del Plata,-38.0023,-57.5575,72.09,100,100,21.0,AR,2022-01-21 01:26:51
36,Yeppoon,-23.1333,150.7333,80.38,67,43,23.58,AU,2022-01-21 01:26:51
37,Ape,57.5393,26.6929,27.72,96,100,7.36,LV,2022-01-21 01:26:51
38,Kuchinarai,16.541,104.05,69.42,75,100,4.21,TH,2022-01-21 01:26:51
39,Denpasar,-8.65,115.2167,82.06,78,40,14.97,ID,2022-01-21 01:26:52
40,Bluff,-46.6,168.3333,58.8,76,100,17.67,NZ,2022-01-21 01:26:52
41,Comodoro Rivadavia,-45.8667,-67.5,60.66,94,40,2.3,AR,2022-01-21 01:26:01
42,Correntina,-13.3433,-44.6367,70.11,81,5,2.21,BR,2022-01-21 01:26:52
43,Ushuaia,-54.8,-68.3,58.66,51,0,9.22,AR,2022-01-21 01:24:46
44,Nikolskoye,59.7035,30.7861,30.09,96,86,4.61,RU,2022-01-21 01:26:53
45,Avarua,-21.2078,-159.775,80.65,89,100,12.66,CK,2022-01-21 01:27:31
46,Impfondo,1.6381,18.0667,71.98,60,88,0.98,CG,2022-01-21 01:27:53
47,Panzhihua,26.5851,101.7128,47.82,68,99,1.19,CN,2022-01-21 01:27:53
48,Axim,4.8699,-2.2405,78.17,74,11,1.48,GH,2022-01-21 01:27:54
49,Alice Springs,-23.7,133.8833,93.22,42,96,5.01,AU,2022-01-21 01:27:50
50,Dikson,73.5069,80.5464,4.68,94,100,13.47,RU,2022-01-21 01:27:54
51,Alofi,-19.0595,-169.9187,85.89,66,75,17.27,NU,2022-01-21 01:27:08
52,Constitucion,-35.3333,-72.4167,54.57,78,0,10.33,CL,2022-01-21 01:23:52
53,Beruwala,6.4788,79.9828,73.13,87,96,4.29,LK,2022-01-21 01:27:54
54,East London,-33.0153,27.9116,71.76,82,98,17.65,ZA,2022-01-21 01:27:55
55,Vaini,-21.2,-175.2,81.77,78,94,16.73,TO,2022-01-21 01:27:55
56,Port Elizabeth,-33.918,25.5701,72.1,83,100,17.27,ZA,2022-01-21 01:26:43
57,Talnakh,69.4865,88.3972,10.67,95,100,13.67,RU,2022-01-21 01:27:55
58,Albany,42.6001,-73.9662,15.28,63,27,13.0,US,2022-01-21 01:24:06
59,Abu Zabad,12.35,29.25,58.03,16,85,15.46,SD,2022-01-21 01:27:56
60,Tarko-Sale,64.9225,77.785,9.97,92,18,15.52,RU,2022-01-21 01:27:56
61,Lagoa,39.05,-27.9833,61.07,87,100,19.22,PT,2022-01-21 01:27:56
62,Sao Miguel Do Araguaia,-13.275,-50.1628,73.51,86,10,1.79,BR,2022-01-21 01:23:49
63,Narsaq,60.9167,-46.05,25.02,87,100,18.72,GL,2022-01-21 01:27:56
64,Quang Ngai,15.1167,108.8,68.74,89,100,3.33,VN,2022-01-21 01:27:57
65,Nuuk,64.1835,-51.7216,16.88,78,100,11.99,GL,2022-01-21 01:27:57
66,Georgetown,5.4112,100.3354,82.33,82,20,4.61,MY,2022-01-21 01:23:10
67,Saint-Augustin,51.226,-58.6502,3.47,87,100,8.68,CA,2022-01-21 01:27:57
68,Rio Gallegos,-51.6226,-69.2181,60.85,63,20,29.93,AR,2022-01-21 01:27:57
69,Kachiry,53.0675,76.1036,-5.48,100,77,6.62,KZ,2022-01-21 01:27:58
70,Byron Bay,-28.65,153.6167,80.06,63,70,17.13,AU,2022-01-21 01:27:58
71,Rio Grande,-32.035,-52.0986,77.95,94,31,14.5,BR,2022-01-21 01:27:58
72,Grindavik,63.8424,-22.4338,48.15,93,40,31.07,IS,2022-01-21 01:27:59
73,Castro,-24.7911,-50.0119,66.58,90,93,3.62,BR,2022-01-21 01:27:59
74,Carnarvon,-24.8667,113.6333,98.67,23,0,14.97,AU,2022-01-21 01:27:59
75,Sept-Iles,50.2001,-66.3821,0.05,64,0,1.01,CA,2022-01-21 01:27:59
76,Atuona,-9.8,-139.0333,78.93,77,47,24.05,PF,2022-01-21 01:28:00
77,La Sarre,48.8002,-79.1996,-17.68,100,76,4.5,CA,2022-01-21 01:28:00
78,Geraldton,-28.7667,114.6,102.61,8,0,18.41,AU,2022-01-21 01:28:00
79,Butaritari,3.0707,172.7902,81.84,72,100,17.56,KI,2022-01-21 01:28:00
80,Purranque,-40.9167,-73.1667,56.53,80,13,2.13,CL,2022-01-21 01:28:01
81,Ginir,7.1333,40.7,60.26,61,97,3.6,ET,2022-01-21 01:28:01
82,Saint George,37.1041,-113.5841,54.19,33,0,1.01,US,2022-01-21 01:23:20
83,Timon,-5.0942,-42.8367,76.78,83,0,0.0,BR,2022-01-21 01:28:01
84,Amla,21.9333,78.1167,56.08,67,0,4.07,IN,2022-01-21 01:28:02
85,Rocha,-34.4833,-54.3333,74.77,94,96,11.3,UY,2022-01-21 01:28:02
86,Sarangpur,23.5667,76.4667,57.78,70,0,4.79,IN,2022-01-21 01:28:02
87,Saskylakh,71.9167,114.0833,-21.3,93,60,7.07,RU,2022-01-21 01:28:02
88,Thompson,55.7435,-97.8558,-3.84,71,75,11.5,CA,2022-01-21 01:26:34
89,Pozo Colorado,-23.4923,-58.7972,84.16,52,9,6.38,PY,2022-01-21 01:28:03
90,Kavieng,-2.5744,150.7967,82.26,75,100,4.0,PG,2022-01-21 01:23:11
91,Logansport,40.7545,-86.3567,21.81,54,100,4.61,US,2022-01-21 01:23:19
92,Vilyuysk,63.7553,121.6247,-5.87,100,100,3.49,RU,2022-01-21 01:28:03
93,Mahebourg,-20.4081,57.7,80.89,89,75,14.97,MU,2022-01-21 01:29:03
94,Kapaa,22.0752,-159.319,80.11,68,0,1.01,US,2022-01-21 01:29:04
95,Tasiilaq,65.6145,-37.6368,37.56,93,100,16.15,GL,2022-01-21 01:27:30
96,Bairiki,1.3292,172.9752,87.8,70,40,11.5,KI,2022-01-21 01:29:04
97,Atasu,48.6814,71.6433,5.0,93,13,7.74,KZ,2022-01-21 01:29:04
98,Rawatbhata,24.9333,75.5833,58.37,59,0,1.32,IN,2022-01-21 01:29:05
99,Golkoy,40.6875,37.6178,24.21,80,7,12.33,TR,2022-01-21 01:29:05
100,Seredka,58.1584,28.1858,28.15,95,100,7.34,RU,2022-01-21 01:29:05
101,Ancona,43.55,13.1667,43.84,62,75,1.01,IT,2022-01-21 01:29:05
102,Fukue,32.6881,128.8419,46.76,57,75,9.22,JP,2022-01-21 01:29:06
103,Victoria,22.2855,114.1577,66.38,80,100,1.99,HK,2022-01-21 01:28:43
104,Fort Nelson,58.8053,-122.7002,-0.81,71,75,12.66,CA,2022-01-21 01:29:06
105,Tuktoyaktuk,69.4541,-133.0374,-20.2,69,75,16.11,CA,2022-01-21 01:29:06
106,Mount Isa,-20.7333,139.5,85.77,58,100,12.66,AU,2022-01-21 01:29:07
107,Ponta Do Sol,32.6667,-17.1,65.03,80,100,15.75,PT,2022-01-21 01:29:07
108,Bilma,18.6853,12.9164,53.47,26,0,6.35,NE,2022-01-21 01:29:07
109,Oranjemund,-28.55,16.4333,66.81,79,12,12.01,NA,2022-01-21 01:29:08
110,Nuevo Casas Grandes,30.4167,-107.9167,39.74,83,85,5.01,MX,2022-01-21 01:29:08
111,Upernavik,72.7868,-56.1549,-0.8,92,100,11.05,GL,2022-01-21 01:29:08
112,Fortuna,40.5982,-124.1573,55.42,92,75,1.99,US,2022-01-21 01:29:08
113,Bambous Virieux,-20.3428,57.7575,80.85,89,75,14.97,MU,2022-01-21 01:29:09
114,Aklavik,68.2191,-135.0107,-21.17,91,18,6.82,CA,2022-01-21 01:29:09
115,Burnie,-41.0667,145.9167,69.94,59,2,7.29,AU,2022-01-21 01:29:09
116,Yurimaguas,-5.9,-76.0833,73.9,97,98,2.57,PE,2022-01-21 01:29:09
117,Broken Hill,-31.95,141.4333,82.11,39,98,20.71,AU,2022-01-21 01:29:10
118,Port Lincoln,-34.7333,135.8667,72.72,79,100,11.79,AU,2022-01-21 01:29:10
119,Portland,45.5234,-122.6762,52.77,80,75,5.99,US,2022-01-21 01:26:13
120,Sabaudia,41.3003,13.0282,49.35,96,100,9.48,IT,2022-01-21 01:29:10
121,Taksimo,56.3444,114.8794,-18.87,96,62,0.63,RU,2022-01-21 01:29:10
122,Nongstoin,25.5167,91.2667,41.79,90,13,3.15,IN,2022-01-21 01:29:11
123,Saint-Philippe,-21.3585,55.7679,78.35,81,51,8.97,RE,2022-01-21 01:29:11
124,Mackay,-21.15,149.2,84.18,70,40,20.71,AU,2022-01-21 01:26:14
125,Kodiak,57.79,-152.4072,38.71,87,100,25.32,US,2022-01-21 01:29:11
126,Tiksi,71.6872,128.8694,-14.04,96,61,10.18,RU,2022-01-21 01:29:12
127,Ponta Delgada,37.7333,-25.6667,61.52,77,20,12.66,PT,2022-01-21 01:29:12
128,Kaeo,-35.1,173.7833,78.33,47,14,4.94,NZ,2022-01-21 01:29:12
129,Namatanai,-3.6667,152.4333,82.98,74,100,8.99,PG,2022-01-21 01:29:12
130,Krasnorechenskiy,44.6265,135.3532,-0.83,87,21,6.89,RU,2022-01-21 01:29:13
131,Atbasar,51.8,68.3333,-0.94,93,100,6.71,KZ,2022-01-21 01:29:13
132,Esperance,-33.8667,121.9,73.24,59,0,8.75,AU,2022-01-21 01:29:13
133,Sawtell,-30.3833,153.1,77.02,76,40,17.27,AU,2022-01-21 01:29:13
134,Berdigestyakh,62.0989,126.6992,-8.39,99,99,4.43,RU,2022-01-21 01:29:14
135,Faya,18.3851,42.4509,46.51,74,0,3.74,SA,2022-01-21 01:29:14
136,Cape Town,-33.9258,18.4232,64.89,82,0,3.0,ZA,2022-01-21 01:27:26
137,Zaria,11.1113,7.7227,56.98,26,38,11.01,NG,2022-01-21 01:29:14
138,Las Vegas,36.175,-115.1372,60.24,28,0,3.44,US,2022-01-21 01:28:58
139,Vila Velha,-20.3297,-40.2925,80.55,78,75,1.01,BR,2022-01-21 01:30:15
140,Mandalgovi,45.7625,106.2708,8.02,80,9,7.36,MN,2022-01-21 01:30:15
141,Sioux Lookout,50.1001,-91.917,-9.02,84,0,6.91,CA,2022-01-21 01:30:15
142,Cabo San Lucas,22.8909,-109.9124,73.94,65,75,6.91,MX,2022-01-21 01:30:15
143,Bilibino,68.0546,166.4372,-27.9,82,4,3.47,RU,2022-01-21 01:30:16
144,Chokurdakh,70.6333,147.9167,-38.36,98,82,5.7,RU,2022-01-21 01:30:16
145,Arraial Do Cabo,-22.9661,-42.0278,75.79,89,20,13.96,BR,2022-01-21 01:30:16
146,Half Moon Bay,37.4636,-122.4286,63.34,72,40,1.01,US,2022-01-21 01:30:17
147,Biak,-0.9131,122.8766,82.33,71,78,0.96,ID,2022-01-21 01:30:17
148,Pemangkat,1.1667,108.9667,79.59,80,85,4.25,ID,2022-01-21 01:30:17
149,Dunedin,-45.8742,170.5036,64.8,57,99,11.01,NZ,2022-01-21 01:30:18
150,Souillac,-20.5167,57.5167,80.98,89,75,14.97,MU,2022-01-21 01:30:18
151,San Ignacio,17.1561,-89.0714,75.34,94,75,0.0,BZ,2022-01-21 01:30:19
152,Tocopilla,-22.092,-70.1979,70.77,79,31,9.89,CL,2022-01-21 01:30:19
153,Bafia,4.75,11.2333,65.62,43,100,1.41,CM,2022-01-21 01:30:20
154,Ancud,-41.8697,-73.8203,56.73,89,11,8.97,CL,2022-01-21 01:30:20
155,Pisco,-13.7,-76.2167,68.02,92,67,6.29,PE,2022-01-21 01:30:20
156,Williston,48.147,-103.618,27.91,73,100,16.75,US,2022-01-21 01:30:20
157,Kalabo,-14.97,22.6814,65.91,94,100,2.62,ZM,2022-01-21 01:30:21
158,Clyde River,70.4692,-68.5914,-1.97,84,96,4.61,CA,2022-01-21 01:30:21
159,La Macarena,2.1837,-73.7849,76.82,59,49,1.77,CO,2022-01-21 01:30:22
160,Jumla,29.2747,82.1838,25.29,87,59,4.97,NP,2022-01-21 01:30:22
161,Wagar,16.1525,36.2032,62.13,67,0,15.21,SD,2022-01-21 01:30:22
162,Hambantota,6.1241,81.1185,68.34,100,82,2.3,LK,2022-01-21 01:30:23
163,Amga,60.8953,131.9608,-24.29,96,76,1.68,RU,2022-01-21 01:30:23
164,Baghdad,33.3406,44.4009,33.71,60,0,6.91,IQ,2022-01-21 01:26:17
165,Ribeira Grande,38.5167,-28.7,63.0,82,40,9.22,PT,2022-01-21 01:30:23
166,Great Yarmouth,52.6083,1.7305,34.95,87,32,15.01,GB,2022-01-21 01:30:23
167,Katobu,-4.9408,122.5276,77.18,88,100,7.76,ID,2022-01-21 01:30:24
168,Lebedinyy,58.5167,125.5167,-1.88,91,46,4.56,RU,2022-01-21 01:30:24
169,Caravelas,-17.7125,-39.2481,75.15,92,0,4.34,BR,2022-01-21 01:30:24
170,Necochea,-38.5473,-58.7368,71.04,89,97,19.01,AR,2022-01-21 01:30:04
171,Zhanakorgan,43.9098,67.2495,27.97,83,87,6.4,KZ,2022-01-21 01:30:25
172,Westerland,54.9079,8.3033,39.22,65,75,24.16,DE,2022-01-21 01:30:26
173,Santa Ana,33.7456,-117.8678,73.92,43,0,5.75,US,2022-01-21 01:28:00
174,Tazovskiy,67.4667,78.7,11.82,88,99,17.56,RU,2022-01-21 01:30:26
175,Koroni,36.8,21.95,49.06,66,66,3.62,GR,2022-01-21 01:30:26
176,Ilulissat,69.2167,-51.1,19.42,73,100,14.97,GL,2022-01-21 01:30:27
177,Severo-Kurilsk,50.6789,156.125,31.42,80,100,26.28,RU,2022-01-21 01:30:27
178,Pacific Grove,36.6177,-121.9166,63.57,85,0,4.0,US,2022-01-21 01:30:27
179,Monrovia,6.3005,-10.7969,78.17,81,100,3.8,LR,2022-01-21 01:30:27
180,Grand Gaube,-20.0064,57.6608,81.0,87,31,5.99,MU,2022-01-21 01:30:28
181,Klaksvik,62.2266,-6.589,45.52,85,100,24.87,FO,2022-01-21 01:30:28
182,Lakes Entrance,-37.8811,147.981,77.58,54,0,6.26,AU,2022-01-21 01:28:26
183,Bubaque,11.2833,-15.8333,78.44,70,67,9.15,GW,2022-01-21 01:31:28
184,Cherskiy,68.75,161.3,-38.72,99,19,1.59,RU,2022-01-21 01:31:29
185,Havre-Saint-Pierre,50.2334,-63.5986,9.19,71,0,5.75,CA,2022-01-21 01:31:29
186,Sao Jose Da Coroa Grande,-8.8978,-35.1478,78.87,81,16,6.69,BR,2022-01-21 01:31:29
187,Nizwa,22.9333,57.5333,66.11,67,0,3.0,OM,2022-01-21 01:31:30
188,Lasa,46.6166,10.7002,32.88,95,51,9.71,IT,2022-01-21 01:31:30
